id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2021-01-01;220.72000000;217.91000000;223.72000000;225.22000000
NE;NORDESTE;2021-01-01;220.72000000;217.91000000;223.72000000;225.22000000
S;SUL;2021-01-01;220.72000000;217.91000000;223.72000000;225.22000000
SE;SUDESTE;2021-01-01;220.72000000;217.91000000;223.72000000;225.22000000
N;NORTE;2021-01-08;281.49000000;277.75000000;284.02000000;286.24000000
NE;NORDESTE;2021-01-08;281.49000000;277.75000000;284.02000000;286.24000000
S;SUL;2021-01-08;281.49000000;277.75000000;284.02000000;286.24000000
SE;SUDESTE;2021-01-08;281.49000000;277.75000000;284.02000000;286.24000000
N;NORTE;2021-01-15;361.74000000;357.22000000;365.18000000;367.07000000
NE;NORDESTE;2021-01-15;361.74000000;357.22000000;365.18000000;367.07000000
S;SUL;2021-01-15;361.74000000;357.22000000;365.18000000;367.07000000
SE;SUDESTE;2021-01-15;361.74000000;357.22000000;365.18000000;367.07000000
N;NORTE;2021-01-22;223.70000000;221.57000000;224.11000000;227.61000000
NE;NORDESTE;2021-01-22;223.70000000;221.57000000;224.11000000;227.61000000
S;SUL;2021-01-22;223.70000000;221.57000000;224.11000000;227.61000000
SE;SUDESTE;2021-01-22;223.70000000;221.57000000;224.11000000;227.61000000
N;NORTE;2021-01-29;177.73000000;175.20000000;180.04000000;180.25000000
NE;NORDESTE;2021-01-29;177.73000000;175.20000000;180.04000000;180.25000000
S;SUL;2021-01-29;177.73000000;175.20000000;180.04000000;180.25000000
SE;SUDESTE;2021-01-29;177.73000000;175.20000000;180.04000000;180.25000000
N;NORTE;2021-02-05;148.01000000;146.09000000;148.90000000;150.91000000
NE;NORDESTE;2021-02-05;148.01000000;146.09000000;148.90000000;150.91000000
S;SUL;2021-02-05;147.53000000;146.09000000;148.90000000;148.90000000
SE;SUDESTE;2021-02-05;148.01000000;146.09000000;148.90000000;150.91000000
N;NORTE;2021-02-12;179.93000000;175.81000000;183.44000000;184.34000000
NE;NORDESTE;2021-02-12;179.93000000;175.81000000;183.44000000;184.34000000
S;SUL;2021-02-12;176.05000000;171.68000000;180.21000000;180.21000000
SE;SUDESTE;2021-02-12;179.93000000;175.81000000;183.44000000;184.34000000
N;NORTE;2021-02-19;166.42000000;165.00000000;168.02000000;168.56000000
NE;NORDESTE;2021-02-19;166.42000000;165.00000000;168.02000000;168.56000000
S;SUL;2021-02-19;166.42000000;165.00000000;168.02000000;168.56000000
SE;SUDESTE;2021-02-19;166.42000000;165.00000000;168.02000000;168.56000000
N;NORTE;2021-02-26;175.74000000;173.18000000;178.18000000;178.20000000
NE;NORDESTE;2021-02-26;175.74000000;173.18000000;178.18000000;178.20000000
S;SUL;2021-02-26;175.74000000;173.18000000;178.18000000;178.20000000
SE;SUDESTE;2021-02-26;175.74000000;173.18000000;178.18000000;178.20000000
N;NORTE;2021-03-05;131.23000000;131.23000000;131.23000000;131.23000000
NE;NORDESTE;2021-03-05;134.84000000;131.23000000;137.86000000;138.76000000
S;SUL;2021-03-05;134.84000000;131.23000000;137.86000000;138.76000000
SE;SUDESTE;2021-03-05;134.84000000;131.23000000;137.86000000;138.76000000
N;NORTE;2021-03-12;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2021-03-12;76.01000000;75.67000000;76.15000000;76.54000000
S;SUL;2021-03-12;81.27000000;78.96000000;83.48000000;83.48000000
SE;SUDESTE;2021-03-12;81.27000000;78.96000000;83.48000000;83.48000000
N;NORTE;2021-03-19;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2021-03-19;133.31000000;129.98000000;136.16000000;136.87000000
S;SUL;2021-03-19;133.41000000;129.98000000;136.16000000;137.27000000
SE;SUDESTE;2021-03-19;133.41000000;129.98000000;136.16000000;137.27000000
N;NORTE;2021-03-26;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2021-03-26;139.09000000;135.74000000;142.27000000;142.29000000
S;SUL;2021-03-26;139.33000000;135.74000000;142.27000000;143.31000000
SE;SUDESTE;2021-03-26;139.33000000;135.74000000;142.27000000;143.31000000
N;NORTE;2021-04-02;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2021-04-02;0E-8;0E-8;0E-8;0E-8
S;SUL;2021-04-02;106.11000000;102.75000000;109.64000000;111.23000000
SE;SUDESTE;2021-04-02;106.11000000;102.75000000;109.64000000;111.23000000
N;NORTE;2021-04-09;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2021-04-09;140.44000000;139.59000000;141.22000000;141.22000000
S;SUL;2021-04-09;157.67000000;149.62000000;164.28000000;165.53000000
SE;SUDESTE;2021-04-09;157.67000000;149.62000000;164.28000000;165.53000000
N;NORTE;2021-04-16;0E-8;0E-8;0E-8;0E-8
