id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2017-01-01;51809.00000000;8494.00000000;16.38999939
N;NORTE;2017-01-01;15041.00000000;2866.00000000;19.04999924
SE;SUDESTE;2017-01-01;203343.00000000;68544.00000000;33.70999908
S;SUL;2017-01-01;20100.00000000;12399.00000000;61.68999863
NE;NORDESTE;2017-01-02;51809.00000000;8653.00000000;16.70000076
N;NORTE;2017-01-02;15041.00000000;2892.00000000;19.22999954
SE;SUDESTE;2017-01-02;203343.00000000;68204.00000000;33.54000092
S;SUL;2017-01-02;20100.00000000;12489.00000000;62.13999939
NE;NORDESTE;2017-01-03;51809.00000000;8716.00000000;16.81999969
N;NORTE;2017-01-03;15041.00000000;2888.00000000;19.20000076
SE;SUDESTE;2017-01-03;203343.00000000;67747.00000000;33.31999969
S;SUL;2017-01-03;20100.00000000;12514.00000000;62.25999832
NE;NORDESTE;2017-01-04;51809.00000000;8772.00000000;16.93000031
N;NORTE;2017-01-04;15041.00000000;2912.00000000;19.36000061
SE;SUDESTE;2017-01-04;203343.00000000;67598.00000000;33.24000168
S;SUL;2017-01-04;20100.00000000;12510.00000000;62.24000168
NE;NORDESTE;2017-01-05;51809.00000000;8782.00000000;16.95000076
N;NORTE;2017-01-05;15041.00000000;2946.00000000;19.59000015
SE;SUDESTE;2017-01-05;203343.00000000;67235.00000000;33.06000137
S;SUL;2017-01-05;20100.00000000;12598.00000000;62.68000031
NE;NORDESTE;2017-01-06;51809.00000000;8789.00000000;16.95999908
N;NORTE;2017-01-06;15041.00000000;2982.00000000;19.82999992
SE;SUDESTE;2017-01-06;203343.00000000;66987.00000000;32.93999863
S;SUL;2017-01-06;20100.00000000;12955.00000000;64.44999695
NE;NORDESTE;2017-01-07;51809.00000000;8798.00000000;16.97999954
N;NORTE;2017-01-07;15041.00000000;3017.00000000;20.05999947
SE;SUDESTE;2017-01-07;203343.00000000;66974.00000000;32.93999863
S;SUL;2017-01-07;20100.00000000;13334.00000000;66.33999634
NE;NORDESTE;2017-01-08;51809.00000000;8808.00000000;17.00000000
N;NORTE;2017-01-08;15041.00000000;3048.00000000;20.26000023
SE;SUDESTE;2017-01-08;203343.00000000;67077.00000000;32.99000168
S;SUL;2017-01-08;20100.00000000;13646.00000000;67.88999939
NE;NORDESTE;2017-01-09;51809.00000000;8801.00000000;16.98999977
N;NORTE;2017-01-09;15041.00000000;3035.00000000;20.18000031
SE;SUDESTE;2017-01-09;203343.00000000;66724.00000000;32.81000137
S;SUL;2017-01-09;20100.00000000;13808.00000000;68.69999695
NE;NORDESTE;2017-01-10;51809.00000000;8795.00000000;16.97999954
N;NORTE;2017-01-10;15041.00000000;3024.00000000;20.11000061
